Date,Time,PM2.5,0
,,,172.75
,,,146.79166666666666
,,,113.875
,,,144.75
,,,118.45833333333333
,,,170.91666666666666
,,,227.0
,,,231.25
,,,272.125
,,,205.25
,,,256.0
,,,272.4166666666667
,,,228.79166666666666
,,,200.875
,,,214.04166666666666
,,,210.0
,,,210.125
,,,227.75
,,,217.25
,,,212.45833333333334
,,,202.66666666666666
,,,149.875
,,,85.08333333333333
,,,102.875
,,,138.79166666666666
,,,153.08333333333334
,,,159.70833333333334
,,,147.375
,,,171.0
,,,133.41666666666666
,,,151.875
,,,224.79166666666666
,,,177.625
,,,149.625
,,,114.20833333333333
,,,97.5
,,,162.0
,,,161.16666666666666
,,,136.75
8/2/2015,1:00 AM,177.0,
8/2/2015,2:00 AM,165.0,
8/2/2015,3:00 AM,150.0,
8/2/2015,4:00 AM,140.0,
8/2/2015,5:00 AM,137.0,
8/2/2015,6:00 AM,133.0,
8/2/2015,7:00 AM,150.0,
8/2/2015,8:00 AM,147.0,
8/2/2015,9:00 AM,141.0,
8/2/2015,10:00 AM,187.0,
8/2/2015,11:00 AM,237.0,
8/2/2015,12:00 PM,189.0,
8/2/2015,1:00 PM,101.0,
8/2/2015,2:00 PM,98.0,
8/2/2015,3:00 PM,68.0,
8/2/2015,4:00 PM,51.0,
8/2/2015,5:00 PM,53.0,
8/2/2015,6:00 PM,61.0,
8/2/2015,7:00 PM,79.0,
8/2/2015,8:00 PM,93.0,
8/2/2015,9:00 PM,145.0,
8/2/2015,10:00 PM,186.0,
8/2/2015,11:00 PM,197.0,
08/02/2015 24:00 AM,,197.0,
