Date,Time,PM2.5,0
,,,172.75
,,,146.79166666666666
,,,113.875
,,,144.75
,,,118.45833333333333
,,,170.91666666666666
,,,227.0
,,,231.25
,,,272.125
,,,205.25
,,,256.0
,,,272.4166666666667
,,,228.79166666666666
,,,200.875
,,,214.04166666666666
,,,210.0
,,,210.125
,,,227.75
,,,217.25
,,,212.45833333333334
,,,202.66666666666666
,,,149.875
,,,85.08333333333333
,,,102.875
,,,138.79166666666666
,,,153.08333333333334
,,,159.70833333333334
,,,147.375
,,,171.0
,,,133.41666666666666
,,,151.875
,,,224.79166666666666
,,,177.625
,,,149.625
,,,114.20833333333333
,,,97.5
,,,162.0
6/2/2015,1:00 AM,196.0,
6/2/2015,2:00 AM,216.0,
6/2/2015,3:00 AM,241.0,
6/2/2015,4:00 AM,279.0,
6/2/2015,5:00 AM,272.0,
6/2/2015,6:00 AM,238.0,
6/2/2015,7:00 AM,258.0,
6/2/2015,8:00 AM,255.0,
6/2/2015,9:00 AM,280.0,
6/2/2015,10:00 AM,180.0,
6/2/2015,11:00 AM,154.0,
6/2/2015,12:00 PM,91.0,
6/2/2015,1:00 PM,59.0,
6/2/2015,2:00 PM,48.0,
6/2/2015,3:00 PM,65.0,
6/2/2015,4:00 PM,75.0,
6/2/2015,5:00 PM,62.0,
6/2/2015,6:00 PM,68.0,
6/2/2015,7:00 PM,71.0,
6/2/2015,8:00 PM,109.0,
6/2/2015,9:00 PM,127.0,
6/2/2015,10:00 PM,159.0,
6/2/2015,11:00 PM,174.0,
06/02/2015 24:00 AM,,211.0,
